,,,Apr-24,Apr-24,May-24,May-24,Jun-24,Jun-24,Jul-24,Jul-24,Aug-24,Aug-24,Sep-24,Sep-24,Oct-24,Oct-24,Nov-24,Nov-24,Dec-24,Dec-24,Jan-25,Jan-25,Feb-25,Feb-25,Mar-25,Mar-25
Account Type,Account Name,Account Code ,Net Debit ,Net Credit ,Net Debit ,Net Credit ,Net Debit ,Net Credit ,Net Debit ,Net Credit ,Net Debit ,Net Credit ,Net Debit ,Net Credit ,Net Debit ,Net Credit ,Net Debit ,Net Credit ,Net Debit ,Net Credit ,Net Debit ,Net Credit ,Net Debit ,Net Credit ,Net Debit ,Net Credit 
Assets,PG Receivable,211201,182540420.7,181356373.5,204767013.4,203634963.2,216307758.7,215669890.4,222792407.1,222833678.3,210181448.5,209911034.2,200072957.4,198895173,215592968.4,215038274.1,228676437.9,228619698.5,246329043.2,245727893,254845053.3,255149666.7,281843015,281813306.5,292871023.9,291512581.7
Assets,Accounts Receivable,211202,,,,,,,,,,,,,,,,,,,,,,,,
Assets,Employee Advance,211203,271179,,178883,,220104,,299291,,457425,,176268,,233285,,130099,,348618,,105461,,264452,,476661,
Assets,Furniture and Equipment,211204,320000,,150000,,670000,,480000,,390000,,550000,,430000,,590000,,360000,,410000,,630000,,570000,
Assets,Input Tax Credits,211205,5536759.229,5684325.069,6871877.26,5536759.229,7009006.072,6871877.26,7173002.024,7009006.072,7132469.217,7173002.024,6365931.176,7132469.217,7148192.041,6365931.176,7483998.857,7148192.041,8501360.671,7483998.857,7848492.001,8501360.671,9215491.771,7848492.001,8819076.754,9215491.771
Assets,Inventory Asset,211206,,,,,,,,,,,,,,,,,,,,,,,,
Assets,Bank Account 8511 HDFC,211207,183995634.3,215517831.1,205629068.8,226687021.9,217179262.4,250553800.5,223506051.2,262008678.1,210475449.5,258293018.1,349916783.3,231915874.4,215602099.2,263292558.8,228553819.6,257329807.4,245087772.7,277064642.4,253784638.9,285873601.6,279969722.2,325437798.9,289118659.2,312228791.5
Assets,Petty Cash,211208,468435,500000,362465,400000,117843,100000,386864,400000,360097,200000,92211,200000,81008,100000,328682,200000,154833,200000,302931,200000,459951,500000,70986,200000
Assets,Prepaid Expenses,211209,300000,200000,250000,150000,100000,250000,400000,150000,200000,300000,150000,200000,300000,150000,100000,250000,200000,150000,100000,200000,150000,100000,100000,150000
Assets,Reverse Charge Tax Input but not due,211210,,,,,,,,,,,,,,,,,,,,,,,,
Assets,TDS Receivable,211211,,,,,,,,,,,,,,,,,,,,,,,,
Assets,Accumulated Depreciation ,211212,,337777.7778,,344305.5556,,355694.4444,,371666.6667,,383750,,396805.5556,,410416.6667,,424583.3333,,437777.7778,,448472.2222,,462916.6667,,479583.3333
Liabilities,Accounts Payable,211301,175827238.5,183509429.8,185744275.2,194041821.6,208409804.4,217985368.7,215127706.5,216020447.7,213834058.3,213512476.1,186973496.9,193024764.4,214299091.6,211149572,203794613.5,205508826.8,221936214.8,221962548.5,230739025.4,232183874.4,266961675.5,274484435.8,251525222.8,252021109.3
Liabilities,Salary Payable,211302,15590163.16,15590163.16,14770132.02,14770132.02,15113322.14,15113322.14,16673304.41,16673304.41,16603735.76,16603735.76,16523880.05,16523880.05,17464738.7,17464738.7,19171551.88,19171551.88,19295362.52,19295362.52,18903381.04,18903381.04,20356992.62,20356992.62,20803686.74,20803686.74
Liabilities,Dimension Adjustments,211303,,,,,,,,,,,,,,,,,,,,,,,,
Liabilities,Employee Reimbursements,211304,1191760,,650622,,558386,,1132372,,764463,,832219,,1268677,,1012933,,651049,,622304,,737676,,1179329,
Liabilities,GST Payable,211305,21747578.49,23472687.81,23472687.81,25777747.07,25777747.07,27449171.24,27449171.24,28318775.95,28318775.95,26387771.19,26387771.19,25474720.42,25474720.42,27204918.71,27204918.71,28949133.36,28949133.36,30811676.34,30811676.34,32698170.92,32698170.92,35676120.05,35676120.05,37728830.59
Liabilities,Long Term Debt,211306,,,,,,,,,,,,150000000,2500000,,2500000,,2500000,,2500000,,2500000,,2500000,
Liabilities,Opening Balance Adjustments,211307,,,,,,,,,,,,,,,,,,,,,,,,
Liabilities,Professional Tax Payable,211308,42800,44200,44200,45800,45800,47200,47200,48600,48600,50000,50000,51400,51400,52800,52800,54200,54200,55800,55800,57200,57200,58600,58600,60000
Liabilities,PF payable,211309,398367.1933,450075.7479,450075.7479,442067.7001,442067.7001,330504.4789,330504.4789,484329.0635,484329.0635,348668.877,348668.877,433923.5364,433923.5364,483823.1992,483823.1992,522587.0754,522587.0754,603087.3437,603087.3437,452309.8407,452309.8407,542407.6737,542407.6737,612435.0693
Liabilities,TDS Payable,211310,689778.9048,1100245.35,1100245.35,979142.4042,979142.4042,936571.7683,936571.7683,714629.588,714629.588,697837.0641,697837.0641,953049.626,953049.626,1060946.06,1060946.06,1155670.725,1155670.725,933707.6369,933707.6369,828956.4612,828956.4612,1049106.38,1049106.38,1473706.392
Liabilities,Interest Payable,211311,0,0,0,0,0,0,0,0,0,0,0,937500,937500,1859375,1859375,1828125,1828125,1796875,1796875,1765625,1765625,1734375,1734375,1703125
Liabilities,Unearned Revenue,211312,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Retained Earnings,211101,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Capital Stock,211102,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Distributions,211103,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Dividends Paid,211104,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Drawings,211105,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Investments,211106,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Share Capital,211107,,,,,,,,,,,,,,,,,,,,,,,,
Equities,Securities Premium,211108,,,,,,,,,,,,,,,,,,,,,,,,
Income,Discount,211401,,,,,,,,,,,,,,,,,,,,,,,,
Income,General Income,211402,,,,,,,,,,,,,,,,,,,,,,,,
Income,Interest Income,211403,,5380812.719,,5035662.455,,4666577.604,,4248674.44,,3791771.327,,3771062.181,,3750660.582,,3324005.988,,2923018.001,,2510483.338,,2078885.955,,1656667.965
Income,Late Fee Income,211404,,,,,,,,,,,,,,,,,,,,,,,,
Income,Other Charges,211405,,,,,,,,,,,,,,,,,,,,,,,,
Income,Online Sales,211406,,130403821.2,,143209706,,152495395.7,,157326533.1,,148598728.8,,141526224.6,,151138437.3,,160828518.7,,171175979.6,,181656505.1,,198200666.9,,209604614.4
Income,Shipping Charge,211407,,,,,,,,,,,,,,,,,,,,,,,,
Income,Offline sales,211408,,,,,,,,,,,,,,,,,,,,,,,,
Expense,Performance Marketing,211501,10488552,,13388901.5,,12478990,,13681699.5,,11443851,,10812368,,13345255,,12911290,,14897368,,14666654.5,,17331687,,17350603,
Expense,Brand,211502,3021270.556,,4033745.839,,19110317.2,,5035417.46,,6065491.299,,3960835.489,,18752773.58,,4496985.845,,5041984.064,,4042138.123,,18599179.29,,3985997.437,
Expense,Automobile Expense,211503,,,,,,,,,,,,,,,,,,,,,,,,
Expense,Bad Debt,211504,,,,,,,,,,,,,,,,,,,,,,,,
Expense,Bank Fees and Charges,211505,135357,,111052,,189915,,152621,,100172,,181149,,129090,,150414,,125282,,110181,,121551,,119355,
Expense,Fleet Salaries and Expense,211506,6835050.942,,6613282.071,,6687690.037,,8303934.822,,7304466.446,,8090421.547,,7460781.108,,8469872.077,,8108729.785,,8125948.437,,7500908.628,,7228103.595,
Expense,Fuel Expense,211507,63574842.74,,59406493.63,,60029627.17,,69537236.73,,69593707.03,,54214199.29,,53957929.62,,60710007.75,,65929961.79,,76673908.76,,81338341.51,,77640552.14,
Expense,Consultant Expense,211508,563284,,582529,,844977,,540705,,803549,,684947,,935393,,1032840,,1036729,,1332980,,1151827,,1054817,
Expense,Consumables,211509,,,,,,,,,,,,,,,,,,,,,,,,
Expense,Contract Assets,211510,,,,,,,,,,,,,,,,,,,,,,,,
Expense,Cost of Goods Sold,211511,,,,,,,,,,,,,,,,,,,,,,,,
Expense,Credit Card Charges,211512,,,,,,,,,,,,,,,,,,,,,,,,
